Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary
Scott Alexander,30,us US,L,L,"6' 2""",195,10-Jul-89,6,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$875,000 "
Pedro Báez,32,do DO,R,R,"6' 0""",232,11-Mar-88,7,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$4,000,000 "
Austin Barnes,30,us US,R,R,"5' 10""",187,28-Dec-89,6,29,27,29,28,0,28,0,0,0,0,0,0,0,0,1,1,0,0.7,"$1,100,000 "
Matt Beaty,27,us US,L,R,"6' 0""",215,28-Apr-93,2,21,14,21,14,0,0,13,0,0,0,2,0,0,2,5,3,1,-0.5,
Cody Bellinger,24,us US,L,L,"6' 4""",203,13-Jul-95,4,56,56,56,54,0,0,19,0,0,0,0,39,1,39,2,0,0,1.5,"$11,500,000 "
Mookie Betts,27,us US,R,R,"5' 9""",180,7-Oct-92,7,55,53,55,53,0,0,0,1,0,0,0,1,52,52,2,0,0,3.6,"$27,000,000 "
Walker Buehler,25,us US,R,R,"6' 2""",185,28-Jul-94,4,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,
Caleb Ferguson,23,us US,R,L,"6' 3""",226,2-Jul-96,3,21,1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.3,
Dylan Floro,29,us US,L,R,"6' 2""",212,27-Dec-90,5,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
Tony Gonsolin,26,us US,R,R,"6' 3""",205,14-May-94,2,9,8,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1.5,
Victor González,24,mx MX,L,L,"6' 0""",180,16-Nov-95,1st,15,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.7,
Terrance Gore,29,us US,R,R,"5' 7""",160,8-Jun-91,7,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,
Brusdar Graterol,21,ve VE,R,R,"6' 1""",265,26-Aug-98,2,23,2,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.3,
Enrique Hernández,28,pr PR,R,R,"5' 11""",195,24-Aug-91,7,48,32,48,46,0,0,2,30,0,2,5,3,9,17,2,10,0,1.1,"$5,900,000 "
Kenley Jansen,32,cw CW,B,R,"6' 5""",265,30-Sep-87,11,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$18,000,000 "
Joe Kelly,32,us US,R,R,"6' 1""",174,9-Jun-88,9,12,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$8,833,333 "
Clayton Kershaw,32,us US,L,L,"6' 4""",225,19-Mar-88,13,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1.8,"$31,000,000 "
Adam Kolarek,31,us US,L,L,"6' 3""",215,14-Jan-89,4,21,0,1,21,20,0,0,0,0,0,0,0,1,1,0,0,0,0.8,
Gavin Lux,22,us US,L,R,"6' 2""",190,23-Nov-97,2,19,16,19,18,0,0,0,18,0,0,0,0,0,0,1,0,0,0.6,
Dustin May,22,us US,R,R,"6' 6""",180,6-Sep-97,2,12,10,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1.5,
Jake McGee,33,us US,L,L,"6' 4""",229,6-Aug-86,11,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
Zach McKinstry,25,us US,L,R,"6' 0""",180,29-Apr-95,1st,4,1,4,2,0,0,0,1,0,0,0,0,1,1,2,3,0,0,
Max Muncy,29,us US,L,R,"6' 0""",215,25-Aug-90,5,58,58,58,56,0,0,35,12,16,0,0,0,0,0,2,0,0,0.5,"$2,500,000 "
Joc Pederson,28,us US,L,L,"6' 1""",220,21-Apr-92,7,43,38,43,29,0,0,0,0,0,0,23,0,8,29,12,5,0,-0.3,"$7,750,000 "
AJ Pollock,32,us US,R,R,"6' 1""",210,5-Dec-87,9,55,47,55,42,0,0,0,0,0,0,27,16,0,42,13,8,0,0.9,"$15,000,000 "
Edwin Ríos,26,pr PR,L,R,"6' 3""",220,21-Apr-94,2,32,19,32,27,0,0,6,0,21,0,0,0,0,0,1,6,2,0.6,
Keibert Ruiz,21,ve VE,B,R,"6' 0""",238,20-Jul-98,1st,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,
Dennis Santana,24,do DO,R,R,"6' 2""",190,12-Apr-96,3,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Josh Sborz,26,us US,R,R,"6' 3""",215,17-Dec-93,2,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Corey Seager,26,us US,L,R,"6' 4""",215,27-Apr-94,6,52,52,52,43,0,0,0,0,0,43,0,0,0,0,9,0,0,2.1,"$7,600,000 "
Will Smith,25,us US,R,R,"5' 10""",195,28-Mar-95,2,37,34,37,34,0,34,0,0,0,0,0,0,0,0,3,1,0,1.4,
Ross Stripling,30,us US,R,R,"6' 1""",215,23-Nov-89,5,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$2,100,000 "
Chris Taylor,29,us US,R,R,"6' 1""",196,29-Aug-90,7,56,49,56,50,0,0,0,13,0,20,19,6,0,24,6,4,1,1.9,"$5,600,000 "
Blake Treinen,32,us US,R,R,"6' 5""",225,30-Jun-88,7,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$10,000,000 "
Justin Turner,35,us US,R,R,"5' 11""",208,23-Nov-84,12,42,42,42,32,0,0,0,0,32,0,0,0,0,0,10,0,0,1.5,"$20,000,000 "
Julio Urías,23,mx MX,L,L,"6' 0""",225,12-Aug-96,5,11,10,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1.2,"$1,000,000 "
Mitch White,25,us US,R,R,"6' 3""",210,28-Dec-94,1st,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Alex Wood,29,us US,R,L,"6' 4""",215,12-Jan-91,8,9,2,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$4,000,000 "
